Source,Location,URL,Size (m²),Price (€/month),Bedrooms,Is it good?,
Ille-de-France,,,,,,,
PAP,Boulogne-Billancourt,https://www.pap.fr/annonces/appartement-boulogne-billancourt-r463803723,13,580,,,
PAP,Fontenay-Aux-Roses (92260),https://www.pap.fr/annonces/appartement-fontenay-aux-roses-92260-r456702108,12,450,1,,
PAP,Boulogne-Billancourt (92100),https://www.pap.fr/annonces/appartement-boulogne-billancourt-92100-r453401196,12,600,1,,
PAP,Sceaux (92330),https://www.pap.fr/annonces/appartement-sceaux-92330-r453600691,32,650,,,
PAP,Bourg-La-Reine (92340),https://www.pap.fr/annonces/appartement-bourg-la-reine-92340-r434500459,12,560,,,
PAP,Antony (92160),https://www.pap.fr/annonces/appartement-antony-92160-r445001958,32,600,,,
PAP,Colombes (92700),https://www.pap.fr/annonces/colocation-colombes-92700-r420500083,12,550,,,
PAP,Saint-Cloud (92210),https://www.pap.fr/annonces/appartement-saint-cloud-92210-r417302139,22,540,1,,
PAP,Neuilly-Sur-Seine (92200),https://www.pap.fr/annonces/appartement-neuilly-sur-seine-92200-r426201940,10,650,1,,
PAP,Ville-D'avray (92410),https://www.pap.fr/annonces/appartement-ville-d-avray-92410-r463902127,14,610,,,
PAP,Châtenay-Malabry (92290),https://www.pap.fr/annonces/appartement-chatenay-malabry-92290-r463500816,13,500,,,
PAP,Bagneux (92220),https://www.pap.fr/annonces/appartement-bagneux-92220-r435901475,18,710,,,
PAP,Clichy (92110),https://www.pap.fr/annonces/appartement-clichy-92110-r433301353,17,700,,,
PAP,Neuilly-Sur-Seine (92200),https://www.pap.fr/annonces/appartement-neuilly-sur-seine-92200-r444402772,11,700,1,,
PAP,Antony (92160),https://www.pap.fr/annonces/appartement-antony-92160-r423300252,20,650,,,
PAP,Asnières-Sur-Seine (92600),https://www.pap.fr/annonces/appartement-asnieres-sur-seine-92600-r463900626,18,650,,,
